Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
STX,973.44,N/A,69.93104,0.9344729344729344,199.4754,0.9943019943019943,18.091417,0.9829059829059829,49.493,0.9857549857549858,40.08980054620707,0.9971509971509972,0.978917378917379
LRCX,332.36,N/A,57.801735,0.9088319088319088,39.267487,0.9743589743589743,17.901028,0.98005698005698,47.959,0.9829059829059829,35.34504179932647,0.9829059829059829,0.9658119658119657
HWM,289.18,N/A,1701.0587,1.0,20.180042,0.9202279202279202,12.649489,0.9401709401709402,42.744,0.9658119658119658,36.354653009914784,0.9914529914529915,0.9635327635327636
KLAC,203.72,N/A,55.509537,0.9002849002849003,45.666893,0.98005698005698,19.600882,0.9857549857549858,44.167,0.9743589743589743,32.12489412788895,0.9772079772079773,0.9635327635327636
AMD,514.39,N/A,131.55754,0.9772079772079773,12.487922,0.8603988603988604,20.329954,0.9886039886039886,86.895,1.0,36.09945238663731,0.9886039886039886,0.962962962962963
AVGO,392.99,N/A,65.38934,0.9287749287749287,21.323385,0.9287749287749287,24.775478,0.9971509971509972,45.503,0.9772079772079773,33.26448373946077,0.98005698005698,0.9623931623931623
ANET,198.82,N/A,62.91772,0.9230769230769231,16.945368,0.9031339031339032,23.789154,0.9943019943019943,51.171,0.9886039886039886,35.74896747142277,0.9857549857549858,0.9589743589743591
FTNT,160.01,N/A,56.540634,0.9031339031339032,75.69063,0.9857549857549858,15.596557,0.9772079772079773,43.876,0.9715099715099715,18.86501725382979,0.9145299145299145,0.9504273504273504
AMAT,507.18,N/A,43.684753,0.8575498575498576,15.714329,0.8917378917378918,13.058351,0.9458689458689459,39.391,0.9601139601139601,26.25980175633866,0.9715099715099715,0.9253561253561253
CDNS,324.82,N/A,64.57654,0.9259259259259259,13.043932,0.8689458689458689,15.323558,0.9743589743589743,42.011,0.9629629629629629,18.068189243951583,0.8888888888888888,0.9242165242165242
GLW,165.99,N/A,76.49309,0.9430199430199431,11.973599,0.8490028490028491,8.428546,0.8717948717948718,36.823,0.9572649572649573,24.36389449106845,0.9601139601139601,0.9162393162393162
NVDA,225.16,N/A,34.480858,0.7207977207977208,27.90087,0.9487179487179487,21.513979,0.9914529914529915,32.677,0.9430199430199431,28.776208838456085,0.9743589743589743,0.9156695156695156
GE,368.38,N/A,43.492325,0.8490028490028491,21.668139,0.9316239316239316,7.547884,0.8404558404558404,34.201,0.9515669515669516,24.976556116801433,0.9658119658119658,0.9076923076923077
TXN,279.58,N/A,42.55403,0.8376068376068376,14.175328,0.8746438746438746,13.125265,0.9487179487179487,27.561,0.9031339031339032,23.125124375243995,0.9515669515669516,0.903133903133903
EQIX,1102.1,N/A,70.920204,0.9401709401709402,7.5612144,0.7435897435897436,10.980015,0.9230769230769231,28.885,0.9088319088319088,25.47378862241527,0.9686609686609686,0.896866096866097
WELL,235.52,N/A,105.14286,0.9658119658119658,3.7897854,0.5413105413105413,13.296738,0.9544159544159544,56.503,0.9943019943019943,37.38362762426039,0.9943019943019943,0.89002849002849
LLY,1180.16,N/A,39.682583,0.8148148148148148,31.05521,0.9629629629629629,13.210121,0.9515669515669516,26.324,0.886039886039886,16.524550394333453,0.8347578347578347,0.89002849002849
PSA,325.93,N/A,155.94737,0.9829059829059829,11.8257675,0.8461538461538461,12.395221,0.9316239316239316,20.837,0.7435897435897436,19.594719136395955,0.9230769230769231,0.8854700854700855
AAPL,305.93,N/A,35.083714,0.7293447293447294,41.566574,0.9772079772079773,9.5642185,0.8974358974358975,26.713,0.8917378917378918,19.754647215910634,0.9316239316239316,0.8854700854700855
KEYS,357.82,N/A,57.434994,0.905982905982906,9.650988,0.8062678062678063,10.044313,0.9116809116809117,43.008,0.9686609686609686,16.257049348839157,0.8148148148148148,0.8814814814814815
ISRG,394.51,N/A,45.241974,0.8717948717948718,7.6845613,0.7464387464387464,12.809422,0.9430199430199431,32.119,0.9401709401709402,18.251103661927353,0.8945868945868946,0.8792022792022791
MNST,46.82,N/A,43.35185,0.8461538461538461,9.794978,0.811965811965812,9.9493685,0.905982905982906,30.135,0.9230769230769231,17.262367134808354,0.8603988603988604,0.8695156695156696
IDXX,550.96,N/A,38.772697,0.8034188034188035,26.9484,0.9430199430199431,9.532862,0.8945868945868946,27.32,0.8974358974358975,15.582000759425203,0.7948717948717948,0.8666666666666666
MCHP,79.17,N/A,116.42647,0.9743589743589743,6.664141,0.7122507122507122,8.392714,0.8689458689458689,31.948,0.9373219373219374,15.605399264870506,0.7977207977207977,0.8581196581196581
WST,349.42,N/A,44.6258,0.8632478632478633,8.226681,0.7720797720797721,7.3916974,0.8233618233618234,26.827,0.8945868945868946,19.99629544789141,0.9344729344729344,0.8575498575498575
NOW,124.0,N/A,77.5,0.9458689458689459,10.242855,0.8205128205128205,8.702069,0.8803418803418803,45.56,0.98005698005698,11.982593322316509,0.6581196581196581,0.856980056980057
